"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Spencer Dinwiddie","PG","BRK",370,458,828,356,26,140,311,40,17,152,187,1656092
"Donte DiVincenzo","SG","MIL",83,41,124,12,16,49,31,13,6,19,38,2481000
"Luka Doncic","SG","DAL",514,672,1186,485,86,477,429,77,25,247,137,6560640
"Tyler Dorsey","SG","TOT",132,132,264,61,27,86,56,14,2,27,53,1378242
"Damyean Dotson","SG","NYK",342,356,698,98,34,228,135,58,10,71,135,1378242
"PJ Dozier","SG","BOS",8,13,21,2,6,11,5,2,0,0,2,3206640
"Goran Dragic","PG","MIA",164,269,433,101,20,91,174,30,5,71,81,18109175
"Andre Drummond","C","DET",38,1014,1052,412,423,809,112,136,138,175,272,25434263
"Jared Dudley","PF","BRK",151,88,239,46,34,121,83,36,16,43,131,9530000
"Kris Dunn","PG","CHI",96,410,506,69,19,168,277,68,21,104,166,4221000
"Kevin Durant","PF","GSW",388,995,1383,506,33,464,457,58,84,225,155,3e+07
"Trevon Duval","PG","MIL",1,2,3,0,0,1,2,0,0,0,0,3206640
"Vince Edwards","SF","HOU",4,0,4,0,1,1,0,0,0,0,0,3206640
"Henry Ellenson","PF","TOT",38,57,95,25,5,61,16,7,2,9,27,1857480
"Wayne Ellington","SG","TOT",372,85,457,49,14,93,72,54,6,40,92,6270000
"Joel Embiid","C","PHI",263,936,1199,649,160,711,234,46,122,226,211,25467250
"James Ennis","SF","TOT",156,138,294,81,60,122,41,41,23,34,150,1621415
"Drew Eubanks","PF","SAS",0,26,26,13,6,28,7,2,5,8,11,3206640
"Jacob Evans","SG","GSW",15,38,53,1,6,19,23,5,3,11,28,1644240
"Jawun Evans","PG","TOT",3,11,14,0,1,11,10,3,0,6,8,1378242
"Tyreke Evans","SG","IND",216,444,660,160,33,168,166,58,18,118,117,12400000
"Dante Exum","PG","UTA",62,179,241,86,16,52,110,14,5,52,69,9600000
"Kenneth Faried","C","TOT",25,240,265,99,97,153,20,17,23,33,82,13764045
"Derrick Favors","C","UTA",78,541,619,228,207,353,89,56,106,84,163,16900000
"Cristiano Felicio","C","CHI",4,175,179,73,79,139,37,11,7,33,69,8470980
"Raymond Felton","PG","OKC",61,74,135,13,4,30,52,10,6,14,29,2393887
"Terrance Ferguson","SG","OKC",290,141,431,51,33,108,72,40,16,47,231,2118840
"Yogi Ferrell","PG","SAC",149,203,352,67,13,96,137,36,4,40,64,3e+06
"Dorian Finney-Smith","SF","DAL",254,274,528,103,138,251,95,69,36,74,186,1544951
"Bryn Forbes","SG","SAS",413,378,791,78,18,221,175,45,4,80,159,3125000
"Evan Fournier","SG","ORL",450,619,1069,170,38,220,295,71,12,154,225,1.7e+07
"De'Aaron Fox","PG","SAC",232,870,1102,417,43,261,590,133,45,227,204,5470920
"Melvin Frazier","SG","ORL",6,15,21,4,3,2,1,1,0,1,6,1050000
"Tim Frazier","PG","TOT",101,160,261,54,41,127,248,30,5,76,112,1621415
"Jimmer Fredette","SG","PHO",13,16,29,6,1,6,8,3,0,5,5,198580
